suite_id,sample_id,code,value,character,file_names,width,height
1,1,10,9,九,input_1_1_10.jpg,64,64
1,10,10,9,九,input_1_10_10.jpg,64,64
1,2,10,9,九,input_1_2_10.jpg,64,64
1,3,10,9,九,input_1_3_10.jpg,64,64
1,4,10,9,九,input_1_4_10.jpg,64,64
1,5,10,9,九,input_1_5_10.jpg,64,64
1,6,10,9,九,input_1_6_10.jpg,64,64
1,7,10,9,九,input_1_7_10.jpg,64,64
1,8,10,9,九,input_1_8_10.jpg,64,64
1,9,10,9,九,input_1_9_10.jpg,64,64
10,1,10,9,九,input_10_1_10.jpg,64,64
10,10,10,9,九,input_10_10_10.jpg,64,64
10,2,10,9,九,input_10_2_10.jpg,64,64
10,3,10,9,九,input_10_3_10.jpg,64,64
10,4,10,9,九,input_10_4_10.jpg,64,64
10,5,10,9,九,input_10_5_10.jpg,64,64
10,6,10,9,九,input_10_6_10.jpg,64,64
10,7,10,9,九,input_10_7_10.jpg,64,64
10,8,10,9,九,input_10_8_10.jpg,64,64
10,9,10,9,九,input_10_9_10.jpg,64,64
100,1,10,9,九,input_100_1_10.jpg,64,64
100,10,10,9,九,input_100_10_10.jpg,64,64
100,2,10,9,九,input_100_2_10.jpg,64,64
100,3,10,9,九,input_100_3_10.jpg,64,64
100,4,10,9,九,input_100_4_10.jpg,64,64
100,5,10,9,九,input_100_5_10.jpg,64,64
100,6,10,9,九,input_100_6_10.jpg,64,64
100,7,10,9,九,input_100_7_10.jpg,64,64
100,8,10,9,九,input_100_8_10.jpg,64,64
100,9,10,9,九,input_100_9_10.jpg,64,64
11,1,10,9,九,input_11_1_10.jpg,64,64
11,10,10,9,九,input_11_10_10.jpg,64,64
11,2,10,9,九,input_11_2_10.jpg,64,64
11,3,10,9,九,input_11_3_10.jpg,64,64
11,4,10,9,九,input_11_4_10.jpg,64,64
11,5,10,9,九,input_11_5_10.jpg,64,64
11,6,10,9,九,input_11_6_10.jpg,64,64
11,7,10,9,九,input_11_7_10.jpg,64,64
11,8,10,9,九,input_11_8_10.jpg,64,64
11,9,10,9,九,input_11_9_10.jpg,64,64
12,1,10,9,九,input_12_1_10.jpg,64,64
12,10,10,9,九,input_12_10_10.jpg,64,64
12,2,10,9,九,input_12_2_10.jpg,64,64
12,3,10,9,九,input_12_3_10.jpg,64,64
12,4,10,9,九,input_12_4_10.jpg,64,64
12,5,10,9,九,input_12_5_10.jpg,64,64
12,6,10,9,九,input_12_6_10.jpg,64,64
12,7,10,9,九,input_12_7_10.jpg,64,64
12,8,10,9,九,input_12_8_10.jpg,64,64
12,9,10,9,九,input_12_9_10.jpg,64,64
13,1,10,9,九,input_13_1_10.jpg,64,64
13,10,10,9,九,input_13_10_10.jpg,64,64
13,2,10,9,九,input_13_2_10.jpg,64,64
13,3,10,9,九,input_13_3_10.jpg,64,64
13,4,10,9,九,input_13_4_10.jpg,64,64
13,5,10,9,九,input_13_5_10.jpg,64,64
13,6,10,9,九,input_13_6_10.jpg,64,64
13,7,10,9,九,input_13_7_10.jpg,64,64
13,8,10,9,九,input_13_8_10.jpg,64,64
13,9,10,9,九,input_13_9_10.jpg,64,64
14,1,10,9,九,input_14_1_10.jpg,64,64
14,10,10,9,九,input_14_10_10.jpg,64,64
14,2,10,9,九,input_14_2_10.jpg,64,64
14,3,10,9,九,input_14_3_10.jpg,64,64
14,4,10,9,九,input_14_4_10.jpg,64,64
14,5,10,9,九,input_14_5_10.jpg,64,64
14,6,10,9,九,input_14_6_10.jpg,64,64
14,7,10,9,九,input_14_7_10.jpg,64,64
14,8,10,9,九,input_14_8_10.jpg,64,64
14,9,10,9,九,input_14_9_10.jpg,64,64
15,1,10,9,九,input_15_1_10.jpg,64,64
15,10,10,9,九,input_15_10_10.jpg,64,64
15,2,10,9,九,input_15_2_10.jpg,64,64
15,3,10,9,九,input_15_3_10.jpg,64,64
15,4,10,9,九,input_15_4_10.jpg,64,64
15,5,10,9,九,input_15_5_10.jpg,64,64
15,6,10,9,九,input_15_6_10.jpg,64,64
15,7,10,9,九,input_15_7_10.jpg,64,64
15,8,10,9,九,input_15_8_10.jpg,64,64
15,9,10,9,九,input_15_9_10.jpg,64,64
16,1,10,9,九,input_16_1_10.jpg,64,64
16,10,10,9,九,input_16_10_10.jpg,64,64
16,2,10,9,九,input_16_2_10.jpg,64,64
16,3,10,9,九,input_16_3_10.jpg,64,64
16,4,10,9,九,input_16_4_10.jpg,64,64
16,5,10,9,九,input_16_5_10.jpg,64,64
16,6,10,9,九,input_16_6_10.jpg,64,64
16,7,10,9,九,input_16_7_10.jpg,64,64
16,8,10,9,九,input_16_8_10.jpg,64,64
16,9,10,9,九,input_16_9_10.jpg,64,64
17,1,10,9,九,input_17_1_10.jpg,64,64
17,10,10,9,九,input_17_10_10.jpg,64,64
17,2,10,9,九,input_17_2_10.jpg,64,64
17,3,10,9,九,input_17_3_10.jpg,64,64
17,4,10,9,九,input_17_4_10.jpg,64,64
17,5,10,9,九,input_17_5_10.jpg,64,64
17,6,10,9,九,input_17_6_10.jpg,64,64
17,7,10,9,九,input_17_7_10.jpg,64,64
17,8,10,9,九,input_17_8_10.jpg,64,64
17,9,10,9,九,input_17_9_10.jpg,64,64
18,1,10,9,九,input_18_1_10.jpg,64,64
